"filename", "language", "YAML", "TOML", "Rust", "comment", "blank", "total"
"d:\Projects\rust-projects\rise_of_industry_caculator\Cargo.toml", "TOML", 0, 16, 0, 1, 3, 20
"d:\Projects\rust-projects\rise_of_industry_caculator\data\building_info.yaml", "YAML", 185, 0, 0, 28, 4, 217
"d:\Projects\rust-projects\rise_of_industry_caculator\data\global_market_prices.yaml", "YAML", 77, 0, 0, 21, 7, 105
"d:\Projects\rust-projects\rise_of_industry_caculator\data\recipes.yaml", "YAML", 296, 0, 0, 33, 8, 337
"d:\Projects\rust-projects\rise_of_industry_caculator\src\app.rs", "Rust", 0, 0, 437, 23, 21, 481
"d:\Projects\rust-projects\rise_of_industry_caculator\src\backend\building.rs", "Rust", 0, 0, 305, 32, 55, 392
"d:\Projects\rust-projects\rise_of_industry_caculator\src\backend\mod.rs", "Rust", 0, 0, 172, 15, 20, 207
"d:\Projects\rust-projects\rise_of_industry_caculator\src\backend\money.rs", "Rust", 0, 0, 91, 13, 22, 126
"d:\Projects\rust-projects\rise_of_industry_caculator\src\backend\productivity.rs", "Rust", 0, 0, 137, 17, 27, 181
"d:\Projects\rust-projects\rise_of_industry_caculator\src\backend\recipe.rs", "Rust", 0, 0, 220, 13, 15, 248
"d:\Projects\rust-projects\rise_of_industry_caculator\src\main.rs", "Rust", 0, 0, 14, 0, 4, 18
"Total", "-", 558, 16, 1376, 196, 186, 2332
